date,cp,pb,pe,pb_percentile,pe_percentile,fifty_median,hundred_median
2016/3/9,4287.48,1.588442080581396,9.250282144909672,26.147704590818364,1.5718562874251496,4282.331,4515.4742
2016/3/8,4283.35,1.6376586942567612,9.342784966358767,31.752371442835745,2.0469296055916124,4297.359,4516.6648
2016/3/7,4256.26,1.6183580614428923,9.293042259359904,29.22077922077922,1.7482517482517483,4312.5226,4518.1772
2016/3/4,4290.93,1.599057428629024,9.250282144909672,27.436281859070466,1.5492253873063468,4325.2412,4518.8288999999995
2016/3/3,4152.63,1.5942322704255567,9.204030734185123,26.95,1.15,4336.6723999999995,4518.428
2016/3/2,4129.61,1.6116028399580389,9.319659260996492,28.61430715357679,1.7508754377188593,4349.8086,4518.7549
2016/3/1,4001.64,1.4957990430748265,8.862926580091578,15.915915915915916,0.5005005005005005,4363.4938,4518.9981
2016/2/29,3947.83,1.444652366118074,8.426654301772519,11.166750125187782,0.0500751126690035,4381.442599999999,4521.1736
2016/2/26,3969.74,1.5816016014132768,8.715450287634981,25.350701402805612,0.20040080160320642,4396.866999999999,4524.1163
2016/2/25,3927.6,1.567563717377065,8.638094219993251,23.80952380952381,0.10025062656641603,4412.3088,4526.704999999999
2016/2/24,4127.97,1.6930840608219604,9.535947225907973,37.16148445336008,2.7582748244734203,4428.7988000000005,4529.603999999999
2016/2/23,4114.92,1.6836102254097547,9.279838928983589,36.4274962368289,1.4049172102358254,4441.2266,4531.5039
2016/2/22,4174.74,1.7126218524179275,9.481456098902783,39.1566265060241,2.2590361445783134,4454.7184,4532.8401
2016/2/19,4071.18,1.641496573301117,9.067323533663354,31.943746860873933,0.5524861878453039,4467.18,4533.4676
2016/2/18,4080.54,1.64430415010836,9.060974056434713,32.21105527638191,0.5025125628140703,4484.6244,4535.1167000000005
2016/2/17,4085.93,1.6489834447870977,9.086759412315288,32.6797385620915,0.5530417295123178,4501.6142,4537.5063
2016/2/16,4070.85,1.6461758679798548,9.071288198786943,32.34406438631791,0.5030181086519114,4513.1466,4538.942800000001
2016/2/15,3963.39,1.58440917822052,8.730921501163328,25.71716155007549,0.1509813789632612,4525.138199999999,4541.341400000001
2016/2/5,4002.68,1.6059339337427123,8.849534138213981,27.794561933534744,0.25176233635448136,4538.9186,4544.2246000000005
2016/2/4,4025.96,1.6466764293699905,9.187204013074767,32.29219143576826,0.6045340050377834,4556.4298,4546.996500000001
2016/2/3,3975.39,1.6252724896468105,9.110916435267505,29.93951612903226,0.4536290322580645,4574.1323999999995,4549.520700000001
2016/2/2,4011.84,1.6358814196866325,9.209000463876842,31.215330307614725,0.5547150781643974,4592.4272,4552.0056
2016/2/1,3953.41,1.5942196308061465,8.958341279652977,26.892028254288597,0.30272452068617556,4610.0184,4553.0975
2016/1/29,4021.73,1.6229875038432495,8.96298970408852,29.530540131246845,0.3028773346794548,4629.2116,4556.984900000001
2016/1/28,3898.34,1.5366838847319393,8.52979572529483,20.2020202020202,0.050505050505050504,4647.389,4559.829600000001
2016/1/27,3949.48,1.5759864477987924,8.68450786057829,24.810510358767054,0.050530570995452245,4666.6038,4563.177600000001
2016/1/26,3955.51,1.6081493378682663,8.898401039947268,28.00808897876643,0.15166835187057634,4685.5238,4565.324100000001
2016/1/25,4174.29,1.6847327747606882,9.88469043874118,36.01416287303996,5.56398583712696,4703.9439999999995,4566.726500000001
2016/1/22,4165.93,1.6825057651443485,9.857444875238588,35.82995951417004,5.313765182186235,4718.279,4562.936
2016/1/21,4130.4,1.6786084983157548,9.741707451681943,35.49367088607595,3.848101265822785,4733.2844000000005,4557.8885
2016/1/20,4221.1,1.6997650896709784,10.02636736895467,37.48733535967578,6.889564336372847,4750.4438,4555.7261
2016/1/19,4294.27,1.7543268252712914,10.241943355765132,40.902179422199694,8.869741510390268,4766.4502,4556.6498
